species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,-21.6185979207,5.4046489327,2.7809489719
Br,-1.0000000000,-21.6185979454,-2.7809483282,-5.4046493009
Br,-1.0000000000,-5.4046493372,-21.6185981745,-2.7809474287
Br,-1.0000000000,-21.6185980004,-5.4046498740,-2.7809478335
Br,-1.0000000000,5.4046497895,-21.6185981416,-2.7809473769
Br,-1.0000000000,-21.6185978988,-2.7809483149,5.4046503940
Br,-1.0000000000,-21.6185979611,-5.4046499979,2.7809489559
Br,-1.0000000000,21.6185985468,5.4046491884,-2.7809476103
Br,-1.0000000000,21.6185985064,-5.4046497422,-2.7809476263
Br,-1.0000000000,21.6185985860,5.4046490645,2.7809491791
Br,-1.0000000000,-2.7809478361,5.4046490303,-21.6185988512
Br,-1.0000000000,-5.4046494481,2.7809473779,-21.6185988376
Br,-1.0000000000,2.7809482357,5.4046491650,-21.6185988065
Br,-1.0000000000,5.4046496786,2.7809474108,-21.6185987858
Br,-1.0000000000,21.6185985456,-5.4046498661,2.7809491631
Br,-1.0000000000,-5.4046493181,-2.7809484400,-21.6185988497
Br,-1.0000000000,2.7809481953,-5.4046497656,-21.6185988225
Br,-1.0000000000,5.4046498086,-2.7809484070,-21.6185987979
Br,-1.0000000000,-2.7809478765,-5.4046499003,-21.6185988672
Br,-1.0000000000,-2.7809476498,5.4046490837,21.6185999285
Br,-1.0000000000,-5.4046492618,2.7809474313,21.6185999421
Br,-1.0000000000,-5.4046491317,-2.7809483866,21.6185999300
Br,-1.0000000000,2.7809484221,5.4046492184,21.6185999732
Br,-1.0000000000,-2.7809476902,-5.4046498468,21.6185999125
Br,-1.0000000000,5.4046498649,2.7809474642,21.6185999939
Br,-1.0000000000,2.7809483816,-5.4046497122,21.6185999572
Br,-1.0000000000,5.4046499949,-2.7809483536,21.6185999818
Sn,4.0000000000,-5.4046489029,-21.6185971469,-5.4046495638
Sn,4.0000000000,-5.4046488563,-21.6185971336,5.4046501311
Sn,4.0000000000,5.4046502238,-21.6185971140,-5.4046495120
Sn,4.0000000000,5.4046502703,-21.6185971006,5.4046501829
Sn,4.0000000000,-16.2139483697,16.2139482307,0.0000010992
Sn,4.0000000000,21.6185977968,-5.4046494620,-5.4046493276
Sn,4.0000000000,21.6185978372,5.4046494686,-5.4046493116
Sn,4.0000000000,-16.2139484910,-16.2139485610,0.0000010512
Sn,4.0000000000,21.6185978434,-5.4046494486,5.4046503674
Sn,4.0000000000,21.6185978838,5.4046494820,5.4046503833
Sn,4.0000000000,-5.4046493766,5.4046493063,-21.6185982549
Sn,4.0000000000,-16.2139479953,0.0000006679,-16.2139492786
Sn,4.0000000000,5.4046497500,5.4046493393,-21.6185982031
Sn,4.0000000000,16.2139490103,16.2139483295,0.0000012545
Sn,4.0000000000,16.2139488890,-16.2139484622,0.0000012066
Sn,4.0000000000,-5.4046494171,-5.4046496242,-21.6185982709
Sn,4.0000000000,5.4046497096,-5.4046495913,-21.6185982191
Sn,4.0000000000,-0.0000004223,16.2139483199,-16.2139490941
Sn,4.0000000000,-5.4046487412,21.6185985754,-5.4046494999
Sn,4.0000000000,-0.0000005436,-16.2139484718,-16.2139491421
Sn,4.0000000000,-16.2139478556,0.0000007080,16.2139498062
Sn,4.0000000000,-5.4046486946,21.6185985887,5.4046501951
Sn,4.0000000000,-21.6185986695,5.4046493368,-5.4046495188
Sn,4.0000000000,-21.6185987099,-5.4046495938,-5.4046495348
Sn,4.0000000000,-21.6185986229,5.4046493502,5.4046501762
Sn,4.0000000000,5.4046503855,21.6185986083,-5.4046494481
Sn,4.0000000000,-21.6185986633,-5.4046495804,5.4046501602
Sn,4.0000000000,-0.0000002825,16.2139483600,16.2139499907
Sn,4.0000000000,-0.0000004038,-16.2139484317,16.2139499427
Sn,4.0000000000,5.4046504320,21.6185986217,5.4046502469
Sn,4.0000000000,16.2139493847,0.0000007668,-16.2139491232
Sn,4.0000000000,16.2139495245,0.0000008068,16.2139499616
Br,-1.0000000000,-16.2139481893,16.2139478288,2.6237019602
Br,-1.0000000000,-16.2139483980,16.2139479852,-2.6237013616
Br,-1.0000000000,-2.6237009697,16.2139480537,-16.2139489798
Br,-1.0000000000,16.2139489820,16.2139480841,-2.6237012062
Br,-1.0000000000,2.6237021889,16.2139480308,-16.2139489340
Br,-1.0000000000,16.2139491907,16.2139479277,2.6237021156
Br,-1.0000000000,-16.2139485193,-16.2139488065,-2.6237014095
Br,-1.0000000000,-16.2139483106,-16.2139489629,2.6237019123
Br,-1.0000000000,-16.2139485150,2.6237005797,-16.2139490116
Br,-1.0000000000,16.2139488607,-16.2139487077,-2.6237012541
Br,-1.0000000000,16.2139488650,2.6237006785,-16.2139488562
Br,-1.0000000000,-16.2139483758,-2.6237024219,-16.2139491043
Br,-1.0000000000,-2.6237010909,-16.2139487380,-16.2139490278
Br,-1.0000000000,2.6237020676,-16.2139487610,-16.2139489819
Br,-1.0000000000,16.2139490694,-16.2139488641,2.6237020677
Br,-1.0000000000,16.2139490043,-2.6237023231,-16.2139489489
Br,-1.0000000000,-2.6237008299,16.2139480938,16.2139501050
Br,-1.0000000000,-16.2139483753,2.6237006197,16.2139500732
Br,-1.0000000000,2.6237023286,16.2139480708,16.2139501508
Br,-1.0000000000,-16.2139482360,-2.6237023818,16.2139499805
Br,-1.0000000000,-2.6237009512,-16.2139486979,16.2139500570
Br,-1.0000000000,2.6237022074,-16.2139487209,16.2139501029
Br,-1.0000000000,16.2139490047,2.6237007186,16.2139502286
Br,-1.0000000000,16.2139491440,-2.6237022830,16.2139501359
Br,-1.0000000000,-8.1855968553,21.6185974507,0.0000005544
Br,-1.0000000000,0.0000002840,21.6185975014,-8.1855975131
Br,-1.0000000000,-21.6185979081,8.1855968278,0.0000003808
Br,-1.0000000000,8.1855979723,21.6185975414,0.0000006028
Br,-1.0000000000,0.0000004665,21.6185974524,8.1855992125
Br,-1.0000000000,-21.6185979579,-8.1855978850,0.0000004443
Br,-1.0000000000,-21.6185980502,-0.0000004256,-8.1855976486
Br,-1.0000000000,0.0000001224,-21.6185982209,-8.1855975770
Br,-1.0000000000,8.1855978107,-21.6185981809,0.0000005389
Br,-1.0000000000,21.6185984566,-0.0000002939,-8.1855974414
Br,-1.0000000000,-21.6185978677,-0.0000004746,8.1855990769
Br,-1.0000000000,0.0000002521,8.1855968669,-21.6185989055
Br,-1.0000000000,-8.1855970293,-0.0000004372,-21.6185988674
Br,-1.0000000000,8.1855977983,-0.0000003465,-21.6185988190
Br,-1.0000000000,0.0000002023,-8.1855978459,-21.6185988419
