species,charge_e,x_A,y_A,z_A
I,-1.0000000000,19.9190185148,-22.6609619376,-11.3304807961
I,-1.0000000000,11.3304811167,19.9190190525,-22.6609613064
I,-1.0000000000,-19.9190184518,-22.6609621829,-11.3304804712
I,-1.0000000000,-11.3304809010,-22.6609620708,19.9190183866
I,-1.0000000000,-22.6609616325,-19.9190190412,11.3304808221
I,-1.0000000000,-19.9190185613,-22.6609621380,11.3304807999
I,-1.0000000000,22.6609617323,19.9190191860,11.3304805472
I,-1.0000000000,22.6609618417,19.9190191411,-11.3304807238
I,-1.0000000000,-31.2494990727,5.6652403796,-5.6652400468
I,-1.0000000000,-31.2494991377,-5.6652406678,-5.6652400700
I,-1.0000000000,-31.2494991274,5.6652404021,5.6652405888
I,-1.0000000000,-31.2494991924,-5.6652406453,5.6652405656
I,-1.0000000000,5.6652402843,-31.2495004510,5.6652403429
I,-1.0000000000,-5.6652400978,5.6652404736,-31.2495004806
I,-1.0000000000,5.6652403390,-31.2495004735,-5.6652402926
I,-1.0000000000,-5.6652401628,-5.6652405738,-31.2495005038
I,-1.0000000000,-5.6652404407,-31.2495005395,-5.6652402397
I,-1.0000000000,-5.6652404954,-31.2495005170,5.6652403958
I,-1.0000000000,5.6652406819,5.6652405396,-31.2495005335
I,-1.0000000000,5.6652406169,-5.6652405077,-31.2495005567
Cs,1.0000000000,-14.1631003848,14.1631009656,-25.4935810577
Cs,1.0000000000,-25.4935812193,14.1631009220,-14.1631003693
Cs,1.0000000000,-14.1631005561,-14.1631011230,-25.4935811209
Cs,1.0000000000,-19.8283413900,2.8326198994,-25.4935810701
Cs,1.0000000000,-25.4935812554,2.8326198550,-19.8283411688
Cs,1.0000000000,-19.8283414130,-2.8326201211,-25.4935810809
Cs,1.0000000000,-25.4935812938,-2.8326201414,-19.8283411865
Cs,1.0000000000,-25.4935813906,-14.1631011666,-14.1631004325
Cs,1.0000000000,14.1631008612,-14.1631009703,-25.4935812629
Cs,1.0000000000,-25.4935813546,14.1631009698,14.1631007609
Cs,1.0000000000,14.1631010142,14.1631011449,-25.4935812057
Cs,1.0000000000,-8.4978605688,2.8326199252,-31.1588218727
Cs,1.0000000000,-8.4978606117,-2.8326200535,-31.1588218865
Cs,1.0000000000,-25.4935815230,-14.1631011214,14.1631006968
Cs,1.0000000000,14.1631005989,-25.4935819262,14.1631005032
Cs,1.0000000000,-25.4935814484,2.8326199421,19.8283415141
Cs,1.0000000000,-2.8326196147,8.4978610156,-31.1588219047
Cs,1.0000000000,-25.4935814897,-2.8326200519,19.8283414972
Cs,1.0000000000,-2.8326195814,19.8283420851,-25.4935811042
Cs,1.0000000000,19.8283418481,-2.8326198775,-25.4935812565
Cs,1.0000000000,-2.8326197062,-8.4978610826,-31.1588219334
Cs,1.0000000000,2.8326202330,8.4978610599,-31.1588219163
