species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,18.9902459619,-16.2079126344,-16.2079148328
Br,-1.0000000000,-16.2079132163,16.2079121691,-18.9902478919
Br,-1.0000000000,18.9902460161,16.2079122234,16.2079153737
Br,-1.0000000000,16.2079134558,-18.9902451243,16.2079151989
Br,-1.0000000000,16.2079133590,16.2079121699,-18.9902478462
Br,-1.0000000000,-16.2079131454,16.2079121665,18.9902480544
Br,-1.0000000000,18.9902460212,-16.2079126438,16.2079153804
Br,-1.0000000000,16.2079134299,16.2079121673,18.9902481001
Br,-1.0000000000,-16.2079132112,-16.2079126981,-18.9902478851
Br,-1.0000000000,16.2079133641,-16.2079126973,-18.9902478394
Br,-1.0000000000,-16.2079131403,-16.2079127006,18.9902480611
Br,-1.0000000000,16.2079134350,-16.2079126998,18.9902481068
Br,-1.0000000000,0.0000001331,29.7955195928,0.0000002010
Br,-1.0000000000,-29.7955210736,-0.0000001930,0.0000000366
Br,-1.0000000000,0.0000000727,-0.0000001659,-29.7955244159
Cs,1.0000000000,-2.7013188006,29.7145058934,-2.7013190432
Cs,1.0000000000,2.7013190402,29.7145059110,-2.7013190774
Cs,1.0000000000,-2.7013188177,29.7145059143,2.7013193069
Cs,1.0000000000,2.7013190914,29.7145059187,2.7013193455
Cs,1.0000000000,-18.9092320280,18.9092309579,-13.5065958434
Cs,1.0000000000,-29.7145074788,-2.7013189493,2.7013193065
Cs,1.0000000000,-18.9092319373,18.9092309593,13.5065960550
Cs,1.0000000000,-29.7145075250,2.7013185360,2.7013193296
Cs,1.0000000000,-29.7145075462,2.7013185074,-2.7013191645
Cs,1.0000000000,-29.7145075300,-2.7013189569,-2.7013191164
Cs,1.0000000000,18.9092322315,18.9092309413,-13.5065957483
Cs,1.0000000000,18.9092322540,18.9092309560,13.5065960774
Cs,1.0000000000,-18.9092320374,-18.9092314006,-13.5065958826
Cs,1.0000000000,-18.9092319767,-18.9092313783,13.5065960871
Cs,1.0000000000,18.9092322672,-18.9092313692,-13.5065957975
Cs,1.0000000000,18.9092323279,-18.9092313828,13.5065961336
Cs,1.0000000000,-13.5065943806,18.9092309646,-18.9092341815
Cs,1.0000000000,13.5065945787,18.9092309695,-18.9092341125
Cs,1.0000000000,-13.5065942845,18.9092309312,18.9092344193
Cs,1.0000000000,-13.5065943067,-18.9092313742,-18.9092341253
Cs,1.0000000000,13.5065946066,18.9092309493,18.9092344155
Cs,1.0000000000,-18.9092320411,13.5065934982,-18.9092341329
Cs,1.0000000000,13.5065945393,-18.9092313682,-18.9092340804
Cs,1.0000000000,-18.9092319832,13.5065934571,18.9092343239
Cs,1.0000000000,-13.5065942488,-18.9092313793,18.9092343700
Cs,1.0000000000,18.9092322635,13.5065934937,-18.9092340863
Cs,1.0000000000,-18.9092319915,-13.5065938985,-18.9092341515
Cs,1.0000000000,13.5065945972,-18.9092314092,18.9092343764
Cs,1.0000000000,18.9092321998,-13.5065939017,-18.9092341291
Cs,1.0000000000,-18.9092319636,-13.5065939186,18.9092343766
Cs,1.0000000000,18.9092323213,13.5065934886,18.9092344090
Cs,1.0000000000,18.9092322960,-13.5065939352,18.9092344717
Cs,1.0000000000,-2.7013188048,2.7013185406,-29.7145108523
Cs,1.0000000000,2.7013189910,2.7013185461,-29.7145108379
Cs,1.0000000000,2.7013190372,-2.7013189391,-29.7145108610
Cs,1.0000000000,-2.7013188719,-2.7013189434,-29.7145108995
Br,-1.0000000000,-5.4026376476,29.6334919630,0.0000000472
Br,-1.0000000000,5.4026378775,29.6334919633,0.0000000625
Br,-1.0000000000,0.0000000682,29.6334921326,-5.4026383325
Br,-1.0000000000,0.0000000880,29.6334921295,5.4026384052
Br,-1.0000000000,-29.6334941438,5.4026372659,0.0000001191
Br,-1.0000000000,-29.6334941421,-5.4026376898,0.0000001214
Br,-1.0000000000,-29.6334941169,-0.0000002050,-5.4026382193
Br,-1.0000000000,-29.6334940971,-0.0000002082,5.4026385184
Br,-1.0000000000,0.0000000900,5.4026372678,-29.6334974319
Br,-1.0000000000,0.0000000917,-5.4026376880,-29.6334974297
Br,-1.0000000000,-5.4026376807,-0.0000001500,-29.6334976645
Br,-1.0000000000,5.4026378444,-0.0000001497,-29.6334976492
Br,-1.0000000000,-10.8052753990,27.0131871727,-8.0229439762
Br,-1.0000000000,-10.8052753883,27.0131871602,8.0229443054
Br,-1.0000000000,10.8052756512,27.0131871732,-8.0229439457
Br,-1.0000000000,10.8052756619,27.0131871608,8.0229443358
Br,-1.0000000000,8.0229429915,27.0131871624,-10.8052766861
Br,-1.0000000000,-8.0229431168,27.0131871810,-10.8052765926
Br,-1.0000000000,8.0229430310,27.0131871562,10.8052767894
Br,-1.0000000000,-8.0229430773,27.0131871748,10.8052768829
Br,-1.0000000000,-27.0131886931,10.8052747990,-8.0229442217
Br,-1.0000000000,-27.0131886747,10.8052748072,8.0229443421
Br,-1.0000000000,-27.0131886747,8.0229420479,10.8052767590
Br,-1.0000000000,-27.0131886897,-10.8052751125,-8.0229442172
Br,-1.0000000000,-27.0131886713,-10.8052751042,8.0229443466
Br,-1.0000000000,-27.0131887142,8.0229420541,-10.8052767165
Br,-1.0000000000,-27.0131887049,-8.0229431563,-10.8052765705
Br,-1.0000000000,-27.0131886653,-8.0229431626,10.8052769050
Br,-1.0000000000,-8.0229431079,10.8052747575,-27.0131916665
Br,-1.0000000000,-8.0229431045,-10.8052751540,-27.0131916621
Br,-1.0000000000,-10.8052754506,-8.0229427027,-27.0131916672
Br,-1.0000000000,10.8052755572,8.0229422277,-27.0131917883
Br,-1.0000000000,8.0229432448,10.8052747651,-27.0131918030
Br,-1.0000000000,-10.8052754930,8.0229422272,-27.0131918187
Br,-1.0000000000,10.8052755996,-8.0229427022,-27.0131916367
Br,-1.0000000000,8.0229432482,-10.8052751464,-27.0131917985
Br,-1.0000000000,13.5876079531,27.0131871784,0.0000001756
Br,-1.0000000000,-13.5876080390,27.0131871588,0.0000000212
Br,-1.0000000000,0.0000000973,27.0131871667,-13.5876091549
Br,-1.0000000000,0.0000001656,27.0131871667,13.5876095145
Br,-1.0000000000,-27.0131886885,13.5876067520,0.0000001627
Br,-1.0000000000,-16.2079131908,21.6105497694,-13.5876091203
Br,-1.0000000000,-16.2079131301,21.6105497487,13.5876092667
Br,-1.0000000000,16.2079133845,21.6105497702,-13.5876090746
Br,-1.0000000000,-16.2079131840,-21.6105500534,-13.5876091114
Br,-1.0000000000,16.2079134452,21.6105497495,13.5876093124
Br,-1.0000000000,-16.2079131233,-21.6105500742,13.5876092757
Br,-1.0000000000,16.2079133913,-21.6105500526,-13.5876090656
Br,-1.0000000000,-27.0131886910,-13.5876078604,0.0000000257
Br,-1.0000000000,-21.6105509512,16.2079122105,-13.5876091831
Br,-1.0000000000,13.5876079603,21.6105497106,-16.2079149006
Br,-1.0000000000,-13.5876077280,21.6105497078,16.2079151152
Br,-1.0000000000,-13.5876077873,21.6105497171,-16.2079150980
Br,-1.0000000000,-21.6105508829,16.2079122104,13.5876094863
Br,-1.0000000000,16.2079134520,-21.6105500734,13.5876093214
Br,-1.0000000000,21.6105511492,16.2079122116,-13.5876091222
Br,-1.0000000000,-21.6105509461,-16.2079126567,-13.5876091764
Br,-1.0000000000,13.5876080196,21.6105497012,16.2079153126
Br,-1.0000000000,13.5876079671,-21.6105501123,-16.2079148916
Br,-1.0000000000,-13.5876077212,-21.6105501151,16.2079151242
Br,-1.0000000000,-13.5876077805,-21.6105501057,-16.2079150890
Br,-1.0000000000,-21.6105508777,-16.2079126567,13.5876094931
Br,-1.0000000000,21.6105511543,-16.2079126556,-13.5876091154
Br,-1.0000000000,-27.0131887125,-0.0000001423,-13.5876091311
Br,-1.0000000000,-27.0131886518,-0.0000001630,13.5876092560
Br,-1.0000000000,13.5876080265,-21.6105501217,16.2079153216
Br,-1.0000000000,-21.6105509594,13.5876072053,-16.2079149492
Br,-1.0000000000,21.6105511410,13.5876072064,-16.2079148883
Br,-1.0000000000,-21.6105509001,13.5876071959,16.2079152640
Br,-1.0000000000,-21.6105509357,-13.5876076970,16.2079151215
Br,-1.0000000000,-21.6105509950,-13.5876076877,-16.2079150917
Br,-1.0000000000,21.6105511054,-13.5876076866,-16.2079150308
Br,-1.0000000000,21.6105512003,13.5876071970,16.2079153249
Br,-1.0000000000,21.6105511647,-13.5876076960,16.2079151824
Br,-1.0000000000,13.5876079153,16.2079122289,-21.6105532976
Br,-1.0000000000,-16.2079132030,13.5876067585,-21.6105532975
Br,-1.0000000000,16.2079133724,13.5876067593,-21.6105532518
Br,-1.0000000000,-13.5876079977,16.2079121968,21.6105534989
Br,-1.0000000000,-13.5876080768,16.2079122093,-21.6105534521
Br,-1.0000000000,13.5876079204,-16.2079126382,-21.6105532909
Br,-1.0000000000,-13.5876080717,-16.2079126579,-21.6105534453
Br,-1.0000000000,-13.5876079926,-16.2079126704,21.6105535056
Br,-1.0000000000,-16.2079132054,-13.5876078539,-21.6105534345
Br,-1.0000000000,-16.2079131264,-13.5876078664,21.6105535165
Br,-1.0000000000,16.2079133699,-13.5876078531,-21.6105533888
Br,-1.0000000000,16.2079134489,-13.5876078656,21.6105535622
Br,-1.0000000000,0.0000000711,13.5876072090,-27.0131916565
Br,-1.0000000000,13.5876079440,-0.0000001977,-27.0131916338
Br,-1.0000000000,0.0000000355,-13.5876076840,-27.0131917990
Br,-1.0000000000,-13.5876078037,-0.0000001912,-27.0131918312
Zr,4.0000000000,-21.6105510468,-21.6105499120,-0.0000000260
Zr,4.0000000000,21.6105510468,21.6105499120,0.0000000260
Zr,4.0000000000,21.6105510536,-21.6105499109,0.0000000350
Zr,4.0000000000,-21.6105510536,21.6105499109,-0.0000000350
Zr,4.0000000000,-0.0000000361,-21.6105499052,-21.6105534710
Zr,4.0000000000,0.0000000361,21.6105499052,21.6105534710
Zr,4.0000000000,-0.0000000430,21.6105499177,-21.6105534800
Zr,4.0000000000,0.0000000430,-21.6105499177,21.6105534800
Zr,4.0000000000,21.6105510107,0.0000000068,-21.6105534450
Zr,4.0000000000,-21.6105510107,-0.0000000068,21.6105534450
Zr,4.0000000000,-21.6105510897,0.0000000057,-21.6105535059
Zr,4.0000000000,21.6105510897,-0.0000000057,21.6105535059
Br,-1.0000000000,-13.4255806005,27.0131871846,-5.4026381498
Br,-1.0000000000,-13.4255805807,27.0131871814,5.4026385880
Br,-1.0000000000,13.4255809022,27.0131872069,-5.4026382452
Br,-1.0000000000,13.4255809220,27.0131872038,5.4026384926
Br,-1.0000000000,-5.4026376814,27.0131871319,-13.4255821459
Br,-1.0000000000,5.4026378437,27.0131871322,-13.4255821306
Br,-1.0000000000,-5.4026376336,27.0131871157,13.4255823343
Br,-1.0000000000,5.4026378915,27.0131871160,13.4255823495
Br,-1.0000000000,-27.0131886695,13.4255797449,5.4026383935
Br,-1.0000000000,-27.0131886893,13.4255797481,-5.4026383442
Br,-1.0000000000,-27.0131886798,-13.4255802205,-5.4026382246
Br,-1.0000000000,-27.0131886600,-13.4255802236,5.4026385132
Br,-1.0000000000,-27.0131887281,5.4026372199,-13.4255821718
Br,-1.0000000000,-27.0131886804,5.4026372037,13.4255823083
Br,-1.0000000000,-27.0131887264,-5.4026377358,-13.4255821696
Br,-1.0000000000,-27.0131886787,-5.4026377520,13.4255823106
Br,-1.0000000000,-5.4026376786,13.4255797549,-27.0131917892
Br,-1.0000000000,5.4026378465,13.4255797551,-27.0131917740
Br,-1.0000000000,-5.4026376691,-13.4255802137,-27.0131916696
Br,-1.0000000000,5.4026378560,-13.4255802135,-27.0131916543
Br,-1.0000000000,-13.4255806366,5.4026372794,-27.0131916208
Br,-1.0000000000,-13.4255806349,-5.4026376763,-27.0131916185
Br,-1.0000000000,13.4255808661,5.4026373017,-27.0131917162
Br,-1.0000000000,13.4255808678,-5.4026376540,-27.0131917139
Br,-1.0000000000,-21.6105509115,21.6105497207,-2.6203054250
Br,-1.0000000000,-21.6105509216,21.6105497356,2.6203057623
Br,-1.0000000000,21.6105511788,21.6105497367,2.6203058233
Br,-1.0000000000,-21.6105509047,-21.6105501021,-2.6203054160
Br,-1.0000000000,-21.6105509148,-21.6105500873,2.6203057713
Br,-1.0000000000,21.6105511856,-21.6105500862,2.6203058323
Br,-1.0000000000,-2.6203051317,21.6105497170,-21.6105532731
Br,-1.0000000000,2.6203054588,21.6105497255,-21.6105533977
Br,-1.0000000000,2.6203055379,21.6105497130,21.6105535533
Br,-1.0000000000,-2.6203051248,-21.6105501059,-21.6105532641
Br,-1.0000000000,2.6203054656,-21.6105500974,-21.6105533887
Br,-1.0000000000,2.6203055447,-21.6105501099,21.6105535623
Br,-1.0000000000,-21.6105509516,-2.6203052686,-21.6105532982
Br,-1.0000000000,-21.6105508822,2.6203046763,21.6105535036
Br,-1.0000000000,-21.6105509613,2.6203046888,-21.6105534474
Br,-1.0000000000,-18.9902455716,21.6105497219,-10.8052766904
Br,-1.0000000000,-18.9902455321,21.6105497156,10.8052767851
Br,-1.0000000000,18.9902459383,21.6105497144,-10.8052765049
Br,-1.0000000000,-21.6105509352,18.9902446397,-10.8052765650
