species,charge_e,x_A,y_A,z_A
Cs,1.0000000000,-23.9149160313,-13.2860650760,-18.6004922940
Cs,1.0000000000,-29.2293420551,13.2860673493,7.9716391359
Cs,1.0000000000,-18.6004895810,-23.9149178242,-13.2860663620
Cs,1.0000000000,-29.2293425020,13.2860666716,-7.9716395270
Cs,1.0000000000,7.9716402672,-13.2860647032,29.2293432783
Cs,1.0000000000,-13.2860635670,-29.2293438290,-7.9716404122
Cs,1.0000000000,13.2860664625,-18.6004910974,23.9149169263
Cs,1.0000000000,-23.9149164890,13.2860664132,-18.6004917447
Cs,1.0000000000,-13.2860641832,7.9716408541,29.2293436175
Cs,1.0000000000,-18.6004902131,13.2860672385,23.9149174351
Cs,1.0000000000,7.9716406557,-29.2293437245,13.2860643531
Cs,1.0000000000,-23.9149164717,13.2860674604,18.6004914537
Cs,1.0000000000,-23.9149167636,18.6004926036,-13.2860653717
Cs,1.0000000000,-7.9716373769,-29.2293438698,-13.2860663078
Cs,1.0000000000,18.6004924139,-13.2860648668,23.9149172366
Cs,1.0000000000,13.2860666179,-7.9716381034,29.2293435620
Cs,1.0000000000,-13.2860638061,-23.9149178546,-18.6004924636
Cs,1.0000000000,-23.9149163730,18.6004934168,13.2860653627
Cs,1.0000000000,13.2860667529,-23.9149176673,18.6004907860
Cs,1.0000000000,18.6004925278,-23.9149176977,13.2860646843
Cs,1.0000000000,13.2860668457,-29.2293437652,7.9716384575
Cs,1.0000000000,-7.9716378325,13.2860674539,29.2293439012
Cs,1.0000000000,13.2860662336,7.9716403108,29.2293438634
Cs,1.0000000000,-13.2860642617,18.6004934691,23.9149177454
Cs,1.0000000000,18.6004919562,13.2860666224,23.9149177860
Cs,1.0000000000,7.9716401402,-29.2293442209,-13.2860661868
Cs,1.0000000000,7.9716396846,13.2860671027,29.2293440222
Cs,1.0000000000,13.2860663989,-29.2293444429,-7.9716402054
Cs,1.0000000000,13.2860662671,-23.9149182776,-18.6004922490
Cs,1.0000000000,18.6004921373,-23.9149185109,-13.2860660501
Cs,1.0000000000,13.2860658115,18.6004930461,23.9149179601
Br,-1.0000000000,0.0000016263,-29.0780816629,15.9432762281
Br,-1.0000000000,0.0000015460,-15.9432774560,29.0780810563
Br,-1.0000000000,-29.0780823713,0.0000016056,15.9432766833
Br,-1.0000000000,-15.9432768490,0.0000017022,29.0780829840
Br,-1.0000000000,0.0000009380,15.9432802649,29.0780818439
Br,-1.0000000000,-29.0780826377,0.0000008338,-15.9432801858
Br,-1.0000000000,0.0000013599,-29.0780824347,-15.9432806410
Br,-1.0000000000,15.9432792186,0.0000010872,29.0780832628
Br,-1.0000000000,-29.0780847044,-15.9432775797,-0.0000021144
Br,-1.0000000000,-15.9432766025,-29.0780859238,-0.0000022863
Br,-1.0000000000,-29.0780853124,15.9432801412,-0.0000013267
Br,-1.0000000000,15.9432794650,-29.0780865388,-0.0000020074
Br,-1.0000000000,-31.8865549355,-7.8203761579,5.3144241846
Br,-1.0000000000,-31.8865549018,-5.3144247819,7.8203764605
Br,-1.0000000000,-31.8865551533,-5.3144252504,-7.8203776916
Br,-1.0000000000,-31.8865550242,-7.8203764152,-5.3144281051
Br,-1.0000000000,-31.8865551045,5.3144277917,7.8203767231
Br,-1.0000000000,-31.8865552836,7.8203786846,-5.3144251723
Br,-1.0000000000,-31.8865553560,5.3144273232,-7.8203774291
Br,-1.0000000000,-5.3144247190,-7.8203802097,31.8865552009
Br,-1.0000000000,-31.8865551948,7.8203789419,5.3144271174
Br,-1.0000000000,-7.8203805957,-5.3144246442,31.8865552032
Br,-1.0000000000,5.3144273035,-7.8203804147,31.8865552938
Br,-1.0000000000,-7.8203807983,5.3144279294,31.8865554658
Br,-1.0000000000,-23.7636552752,-10.6288509766,21.2577023653
Br,-1.0000000000,-10.6288504704,-23.7636563067,21.2577021218
Br,-1.0000000000,-23.7636551613,-21.2577038075,10.6288498131
Br,-1.0000000000,-21.2577026965,-10.6288509095,23.7636556929
Br,-1.0000000000,-21.2577025817,-23.7636563590,10.6288497391
Br,-1.0000000000,-10.6288504713,-21.2577036882,23.7636555233
Br,-1.0000000000,-23.7636556806,10.6288541706,21.2577028905
Br,-1.0000000000,10.6288535746,-23.7636567167,21.2577023077
