# time rdo00 rdo01 rdo10 rdo11
512.0000000000019 0.06666514-0.00000020j -0.12913536+0.00336951j -0.12913544-0.00336960j 0.93333473-0.00000019j
513.0000000000019 0.06633636-0.00000019j -0.12909033+0.00244279j -0.12909043-0.00244274j 0.93366351-0.00000019j
514.0000000000019 0.06611316-0.00000018j -0.12934193+0.00151009j -0.12934219-0.00150990j 0.93388670-0.00000020j
515.0000000000019 0.06599334-0.00000016j -0.12987017+0.00062146j -0.12987071-0.00062120j 0.93400653-0.00000022j
516.0000000000019 0.06596936-0.00000013j -0.13064114-0.00017948j -0.13064199+0.00017970j 0.93403050-0.00000026j
517.0000000000019 0.06602923-0.00000007j -0.13161029-0.00085706j -0.13161143+0.00085713j 0.93397063-0.00000032j
518.0000000000019 0.06615738-0.00000000j -0.13272583-0.00138398j -0.13272716+0.00138381j 0.93384248-0.00000039j
519.0000000000019 0.06633561+0.00000007j -0.13393169-0.00174094j -0.13393308+0.00174049j 0.93366424-0.00000047j
520.000000000002 0.06654399+0.00000015j -0.13517006-0.00191629j -0.13517137+0.00191559j 0.93345586-0.00000055j
521.000000000002 0.06676165+0.00000022j -0.13638349-0.00190518j -0.13638461+0.00190429j 0.93323820-0.00000062j
522.000000000002 0.06696757+0.00000027j -0.13751665-0.00170940j -0.13751748+0.00170843j 0.93303228-0.00000067j
523.000000000002 0.06714129+0.00000031j -0.13851784-0.00133722j -0.13851833+0.00133629j 0.93285856-0.00000071j
524.000000000002 0.06726366+0.00000033j -0.13934050-0.00080371j -0.13934065+0.00080296j 0.93273619-0.00000073j
525.0000000000019 0.06731765+0.00000033j -0.13994491-0.00013121j -0.13994477+0.00013077j 0.93268219-0.00000073j
526.0000000000019 0.06728918+0.00000032j -0.14030005+0.00065030j -0.14029972-0.00065034j 0.93271066-0.00000071j
527.0000000000019 0.06716799+0.00000030j -0.14038571+0.00150330j -0.14038532-0.00150289j 0.93283186-0.00000069j
528.000000000002 0.06694842+0.00000028j -0.14019454+0.00238361j -0.14019425-0.00238277j 0.93305142-0.00000067j
529.000000000002 0.06663015+0.00000027j -0.13973385+0.00324219j -0.13973378-0.00324102j 0.93336970-0.00000066j
